question_id,question_text,question_type,exam_category,subject,topic,subTopic,option_a,option_b,option_c,option_d,option_e,option_f,correct_answers,explanation+text,difficulty,tags,estimated_time_seconds,arde_probability,question_image_urls,explanation_video_url
,Solve the system of linear equations: 2x+y=7 and x-y=2.,mcq.singleSelect,ECAT,Maths,Algebra,Linear Equations,"(3,1)","(1,5)","(4,3)","(2,3)",,,D,"Using the elimination method, you can add the two equations together to eliminate the y variable: (2x+y)+(x-y)=7+2, which results in 3x=9. Dividing by 3 gives x=3. Substitute x=3 into the second equation: 3-y=2. Subtracting 3 from both sides gives -y=-1, so y=1. The solution is (3,1).",Medium,"Algebra, Equations",120,0.8,,
99,"The perimeter of a rectangle is 24 cm. If the length is twice the width, what are the dimensions of the rectangle?",mcq.singleSelect,ECAT,Maths,Algebra,Linear Equations,4 cm by 8 cm,6 cm by 6 cm,5 cm by 7 cm,3 cm by 9 cm,,,C,"Let the width be w and the length be l. We are given that l=2w. The formula for the perimeter is P=2l+2w. Substituting the given values: 24=2(2w)+2w, which simplifies to 24=4w+2w, or 24=6w. Dividing by 6, we get w=4 cm. Since l=2w, the length is 2×4=8 cm. The dimensions are 4 cm by 8 cm.",Medium,"Algebra, Word Problems",150,0.8,,
,Find the value of x for which the equation 5x-2=3(x+4) is true.,mcq.singleSelect,ECAT,Maths,Algebra,Linear Equations,x=7,x=5,x=3,x=9,,,D,"First, distribute the 3 on the right side: 5x-2=3x+12. Next, subtract 3x from both sides: 2x-2=12. Add 2 to both sides: 2x=14. Finally, divide by 2: x=7.",Easy,"Algebra, Equations",90,0.9,,
,"If the sum of two consecutive odd integers is 36, what is the larger of the two integers?",mcq.singleSelect,ECAT,Maths,Algebra,Linear Equations,17,19,15,21,,,A,"Let the first odd integer be x. The next consecutive odd integer will be x+2. The sum is given as 36, so x+(x+2)=36. This simplifies to 2x+2=36. Subtract 2 from both sides: 2x=34. Divide by 2 to get x=17. The larger integer is x+2, which is 17+2=19.",Medium,"Algebra, Word Problems",120,0.8,,
,"A force vector of magnitude 10 N is resolved into two components. If one component is at a 30° angle to the original vector and has a magnitude of 8 N, what is the angle of the second component relative to the original vector?",mcq.singleSelect,ECAT,Physics,Mechanics,Law of Sines,45°,60°,90°,75°,,,B,We can model this as a triangle with ,Hard,"Algebra, Word Problems",120,0.8,,
,Solve for x: 4x + 8 = 14,mcq.singleSelect,ECAT,Maths,Algebra,Algebra,x = 5,x = 2,x = 8,x = 12,,,D,"To solve this linear equation, isolate the variable x by performing inverse operations on both sides. First, add or subtract the constant term, then divide by the coefficient of x. Work step by step: rearrange terms, combine like terms, then divide to find x = x = 2.",Medium,"Maths, Algebra",149,0.9,,
,"If 13x - 11 = 25, what is the value of x?",mcq.singleSelect,ECAT,Maths,Algebra,Algebra,x = 12,x = 8,x = 5,x = 2,,,B,"Apply algebraic principles: isolate variables, perform inverse operations, and simplify step by step. The answer is x = 2.",Easy,"Maths, Algebra",97,0.9,,
,Simplify the expression: 12x + 1 - 15x + 6,mcq.singleSelect,ECAT,Maths,Algebra,Algebra,25,20,30,15,,,B,"Apply algebraic principles: isolate variables, perform inverse operations, and simplify step by step. The answer is 15.",Easy,"Maths, Algebra",75,0.9,,
,Find the value of x in the equation: 11(x + 14) = 18,mcq.singleSelect,ECAT,Maths,Algebra,Algebra,x = 8,x = 5,x = 12,x = 2,,,B,"Apply algebraic principles: isolate variables, perform inverse operations, and simplify step by step. The answer is x = 2.",Medium,"Maths, Algebra",94,0.8,,
,Solve the system: 4x + 9y = 23 and 10x - 4y = 1,mcq.singleSelect,ECAT,Maths,Algebra,Algebra,25,30,20,15,,,A,"To solve this system of linear equations, use either substitution or elimination method. Elimination: add/subtract equations to eliminate one variable, solve for the remaining variable, then substitute back to find the other variable. The solution is 15.",Hard,"Maths, Algebra",162,1,,
